#Table1
specobjid,oiii_5007_flux,oiii_5007_flux_err,h_beta_flux,h_beta_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err
701555248262572032,2510.008,27.92187,5518.499,46.73009,24188.16,172.1102,10216.29,59.06067
1875869416625825792,45.72638,4.682209,30.72881,3.714774,101.551,5.322833,134.072,6.268495
383973403150804992,124.5564,7.466159,809.8279,11.03908,3593.997,27.80362,1491.908,15.15351
914363529845303296,243.3211,9.806078,942.5361,13.06738,4075.795,34.49286,1848.884,19.06944
543924586551470080,112.5047,10.47835,106.6774,10.04213,178.6108,12.66553,192.9408,13.20377
960535596877506560,298.3256,12.07237,152.5538,9.302724,581.9186,15.59973,664.0901,16.12676
2248496938502612992,186.5761,6.593705,953.8058,10.90772,3996.425,29.6949,1792.783,13.90315
480904427633403904,168.3746,11.40574,109.4587,8.809713,395.4808,15.94549,262.1568,16.60967
2801239312711051264,253.2187,15.32682,155.6001,11.83371,446.0435,19.25169,109.0534,16.3629
488769783811041280,50.62443,3.85932,37.42976,3.364293,132.2149,4.919664,116.9346,4.991438
2582827093310072832,46.3938,2.397662,18.95379,1.816513,79.71444,2.270804,113.3956,2.734869
2582915054240294912,16.7865,2.321258,15.63754,2.17403,48.32508,3.503031,40.55014,3.224237
528082822531934208,1485.509,13.98191,386.1893,7.099979,1945.398,16.40048,2058.439,15.17499
1874781174740576256,41.38725,3.848918,41.11842,3.426552,111.9505,3.547857,91.13499,3.856897
443734612640819200,48.84245,2.701432,32.53046,2.317371,99.42894,2.926057,65.98099,2.852288
369455461549762560,42.79592,3.335696,19.54442,2.96475,49.43196,3.769031,34.58287,3.326279
2788978931900901376,38.96968,6.802721,26.90616,4.357965,88.25185,7.090065,101.0841,9.705183
2832899751576365056,68.05516,3.685617,417.0417,5.422904,1877.448,14.39349,710.3118,7.285473
1356735545941714944,704.2949,14.09209,968.8214,13.62801,4344.326,36.43396,1926.079,19.39206
2193289359254382592,14971.08,110.4852,3191.568,26.70438,10434.5,84.9646,575.1768,8.249805
1918634924525512704,145.5356,10.59037,71.17275,8.133725,197.6694,12.34319,177.0869,12.69388
593355887268096000,259.5525,9.704054,1035.821,13.81405,4047.246,36.36744,2067.57,19.29077
577690589429000192,582.5078,7.232353,1376.924,10.50892,5056.438,26.81072,2650.44,13.57479
2394906264585922560,5256.093,48.16209,508.3492,14.17074,2076.596,27.93225,2522.573,27.99797
439212870853486592,82.27954,3.270447,505.3761,4.637402,2517.918,11.96956,957.5192,5.976246
439272794237200384,43.62145,3.485669,25.34258,3.088897,87.25851,3.983799,121.3354,4.194317
441494905441773568,1796.376,20.85633,736.6923,11.97043,3303.951,30.03782,2371.508,22.74912
443619163919902720,19.07298,2.042859,20.03215,2.150571,54.16376,2.635852,72.97021,2.552143
399702743264028672,100.043,7.734797,103.394,6.983674,337.1686,10.84846,291.1169,10.31517
1481776683190085632,201.4387,12.18236,103.3108,10.25643,339.6618,16.19833,293.2003,15.66527
1895048205414983680,105.7228,11.55436,108.8966,12.76814,289.6988,20.99539,433.0215,19.65799
457136284373116928,250.4309,21.45905,80.11588,13.17024,130.3978,18.34091,167.134,25.20164
3242713303390119936,374.064,15.08777,360.9016,12.28932,1634.89,25.17915,2166.352,27.35969
2358855745753081856,844.5275,22.08966,788.1033,18.41108,3538.996,45.47305,3200.918,42.40879
2445499748606568448,1908.021,16.0579,1389.635,12.91928,4664.218,26.9296,2376.142,15.27851
3087382267446716416,63.36956,7.235195,39.62777,5.998344,81.65417,8.147587,78.99485,8.698913
465128910162520064,115.6748,15.14555,87.11688,14.37699,230.6528,19.68194,284.2126,20.10033
466296316163549184,76.20796,4.42945,118.3912,3.814721,674.1603,6.030016,709.0654,6.170889
2582844685496117248,79.32989,2.082807,278.8569,2.813382,1371.912,6.971756,518.6341,3.378087
2582896637420529664,310.7816,3.968492,426.4989,4.021501,2201.068,10.40291,1219.182,6.485539
1105763217386268672,174.1039,13.45686,105.3464,10.71655,197.7394,14.34755,204.1462,15.78254
1918590669182494720,11558.62,65.07277,3412.249,22.70133,10021.19,57.45699,880.2357,7.98637
2796827797098620928,53.59435,8.470871,209.088,7.97067,890.1371,15.56141,420.8114,13.12358
417743534917969920,68.33032,7.524221,145.7529,6.857899,575.3583,9.972156,388.0303,9.560595
821991635763095552,67.93123,7.907161,33.7346,6.569688,110.757,9.720675,140.0918,10.3972
3229216522308184064,95.08416,2.495764,167.6909,2.365611,1111.834,6.541389,726.9317,4.925529
749902975203305472,195.5715,8.081614,114.9784,6.461615,391.0006,10.65167,408.2613,11.29492
750024746116081664,132.0547,8.729848,63.95876,7.18668,169.2926,10.85695,254.7631,12.24442
2423060084700506112,71.18873,5.758212,92.03091,5.091664,457.5656,8.89494,270.8259,8.255996
2169769704900552704,244.1948,10.5435,81.53497,5.742215,261.6507,8.819014,445.3258,12.28467
660934890266585088,22.0299,3.318525,22.73738,2.861491,59.57956,3.508888,63.87945,3.910992
2654998487875217408,1585.921,21.61908,293.4624,9.339648,1090.344,17.75552,716.5037,14.99033
2661674171716626432,110.8449,4.58262,310.544,5.209929,1349.172,11.69213,809.4822,8.472859
2908302882170234880,98.02604,5.100046,91.74318,4.243348,436.732,7.646266,474.3304,7.849361
961652150918735872,73.78905,5.594744,30.58701,4.402474,78.75291,5.710846,72.17674,5.973481
1013333050144090112,63.11298,5.454159,31.16889,5.177053,95.95247,7.320471,114.6861,6.596263
1969295750412134400,39.61546,3.903299,23.39247,2.625319,51.15091,3.172815,86.50161,4.021763
1533579628139014144,115.0336,4.033701,214.2984,4.172729,781.4837,7.725008,322.2542,5.217882
2222644946031110144,103.2341,5.958036,374.0042,6.631282,1796.589,16.52211,841.0414,10.4956
2223739789834741760,150.9112,12.00662,92.8986,11.24196,232.3506,17.49063,287.5901,17.08443
2519825084957353984,12019.25,71.55727,3700.566,28.84831,10814.36,64.54848,682.8312,9.973587
713886547941812224,169.5083,12.27773,61.83147,8.342014,206.6187,12.16646,178.2786,13.50419
1792586083729434624,41.67574,3.027292,94.03584,2.881345,314.4588,4.60097,153.0956,4.017834
672239519621212160,60.79649,6.679333,294.4742,7.135277,1228.359,12.99889,431.5605,9.171618
2478134347761215488,116.2104,8.639659,62.44405,8.330051,227.8456,14.13984,271.7705,13.09125
347988041941411840,45.80608,3.680894,24.40679,2.602654,95.68777,3.278936,83.46696,3.938426
622786509254191104,7271.119,64.58867,1768.915,15.52523,4717.712,35.88542,338.3695,5.51185
3132375113912051712,200.5896,16.12222,217.6756,13.44194,946.1257,26.08099,667.1895,25.87749
644161295041456128,197.7986,7.789933,133.17,6.825459,356.8911,10.80243,242.5154,9.877389
1006687326618806272,297.0784,7.264876,985.0577,11.84476,3830.594,33.77449,1592.368,13.97022
433527845596194816,45.91495,5.023545,88.54709,4.63091,583.0081,8.885003,270.9722,7.595057
2582904334001924096,98.1177,4.422398,56.84426,4.329991,142.5662,5.880782,153.9928,5.803617
2936394036228941824,90.90462,9.573949,77.39585,8.617682,216.7457,13.41823,262.5958,14.58258
792790801573767168,1107.14,12.56162,979.0295,10.30496,3767.49,31.56569,791.8622,7.043108
1875771560090953728,110.6979,4.200375,658.7897,6.298617,2933.444,16.13248,1293.396,8.086383
637378406954067968,120.4518,5.836733,31.88703,4.333169,119.6294,6.562628,122.1225,6.653948
1079879063478233088,557.58,16.39448,72.47333,10.37286,487.1251,18.84616,743.6385,20.18256
2820527215647680512,110.7594,8.454925,65.37457,7.358034,127.4131,10.69259,120.7691,10.72904
506763841741285376,34.94878,2.881497,54.64624,2.584572,266.0399,4.233454,163.192,3.846039
1127181707317897216,287.9846,11.15181,1364.025,16.81256,7176.116,55.58834,3233.772,28.55981
2967889815107823616,154.6154,2.33437,30.86487,1.682321,192.6405,2.780797,169.184,2.432531
2169743591499393024,1555.704,13.21615,1524.189,12.18746,5754.761,34.32215,1616.687,10.55722
2845305271897581568,126.8201,7.616172,114.5313,6.571188,550.9326,12.15271,670.4665,12.9692
661020102417737728,78.46451,7.502493,39.84615,6.704602,108.7614,9.664456,104.7426,9.234137
973962557142362112,115.2909,10.23571,205.0897,8.331878,774.4066,15.82289,649.3064,16.87828
1625960870049769472,143.7628,10.04009,1259.272,17.40062,5752.388,52.84012,2078.238,23.43837
1572891842914052096,223.8257,11.32095,726.2488,12.99231,3684.814,34.31897,1663.784,21.72926
1184523709185026048,201.1432,9.649714,106.6309,8.183837,432.9888,13.4877,737.5605,15.16398
1875900202951403520,194.7305,7.799783,850.7734,9.878998,4459.566,26.30235,1679.706,13.81221
2041397608953440256,53.54943,5.778034,169.6114,5.891181,770.9416,11.18044,360.8974,9.146593
3296707847290644480,18.52558,1.419206,130.786,1.947511,500.5771,3.688353,181.6212,1.898555
3091744304935233536,130.9417,9.821697,60.57459,7.559832,174.9685,12.01507,265.3135,14.26484
2578451861564581888,39.0416,6.265159,112.2152,6.516237,413.1414,11.34929,212.8029,10.33329
460536249120221184,172.1281,10.56723,557.9153,12.08041,2275.672,26.39751,1067.817,18.2248
2034662005285087232,105.9138,7.268563,58.4962,7.130847,170.5047,11.15482,187.1431,10.34359
2036844529440548864,39.44296,4.469154,238.4283,5.101587,1073.726,10.19421,337.0493,6.702389
737558208620554240,3904.738,26.9887,2039.811,14.67634,7974.744,50.51664,1267.244,9.134955
934576950620481536,142.5164,10.97742,75.84025,10.31839,224.7487,15.82607,292.5362,15.52198
936894171694786560,186.219,9.581195,145.7126,8.185835,571.0969,13.79272,308.3112,12.03454
642961727805220864,60.33906,6.261205,38.31512,5.376219,132.6429,7.527198,139.7782,7.804549
855834600277043200,99.20126,5.013627,369.6912,5.980789,1376.463,11.73146,457.9238,6.755981
465050020203227136,178.5814,9.627613,89.00706,8.055337,409.4377,13.89953,753.7577,14.86513
1942318698119325696,3823.379,27.58351,811.241,10.16074,3142.346,24.02203,2141.056,16.5736
2841922349480044544,83.87096,9.532207,54.19944,7.236082,121.868,10.86011,195.3548,13.83498
1875752318637467648,102.8358,8.044607,162.1257,7.924963,555.7126,12.36903,404.612,12.06618
651918900153313280,366.3863,16.83248,1414.765,22.59591,5959.053,56.91217,2818.417,35.08831
1606766969468512256,726.9294,11.36378,897.8938,11.91218,3387.993,29.06047,1866.005,19.2161
1199113680743065600,63.45787,5.213926,275.0466,5.765297,1248.714,12.75673,454.5852,8.157826
577752436958062592,107.5646,4.944746,702.7158,8.010198,3212.755,21.99816,1216.78,10.39292
541640075696433152,169.7092,12.18845,326.563,11.12136,1622.975,24.01465,1065.339,21.21283
1829668490282297344,570.2411,13.59312,116.9107,8.322522,439.5366,14.15242,541.8184,15.06
2523304488899471360,151.0302,8.784012,108.2837,8.20856,269.1904,13.0509,371.6985,13.53607
3117763977677924352,110.6279,8.980727,53.06117,7.877617,148.1966,12.38706,253.2597,13.33197
2222682054548547584,115.8487,5.497598,707.408,8.032629,3346.129,27.29002,1500.314,12.72727
323246831779735552,29.55753,3.606217,33.09515,3.816579,77.73664,4.746259,59.01689,4.26003
1997391028025321472,101.4318,9.75652,263.4741,10.06093,1088.59,20.17524,641.1528,17.83616
2001900127291205632,226.6759,13.30673,93.03514,11.21196,289.9238,18.93317,356.4591,18.14588
2162916173979609088,94.45359,12.92476,78.86882,11.31372,175.5919,17.33519,219.9313,19.37492
1479447647046625280,19.41157,3.306921,22.62053,2.95796,62.63954,3.418808,48.09674,3.859233
488757964061042688,35.60287,4.490888,31.32659,3.997957,130.4462,5.672018,153.6343,6.10987
2837441290109478912,78.40385,3.9727,34.39631,3.565499,117.0103,4.839863,206.4456,5.043667
3246144879448844288,115.3325,12.20494,103.4394,12.05321,316.2162,21.42752,320.0678,20.57097
1204732735000700928,1100.439,22.68084,2580.729,30.72888,12836.56,110.0802,5870.452,46.81752
1110145320592893952,456.4222,8.776516,857.3526,10.21475,3249.227,25.0313,1259.511,12.38062
2497393666834851840,106.7201,6.314855,451.0143,7.381761,3397.34,25.90174,2429.063,18.64248
2482676428433287168,1502.679,15.70651,2032.06,17.43795,7346.167,48.49504,1604.599,12.49809
650862819251611648,173.1686,9.93855,519.1756,10.19003,2519.285,23.73338,1085.802,16.1226
506734704683149312,74.01881,2.988065,421.1026,4.124183,2087.071,10.89463,851.6698,5.268866
506794902944770048,52.9028,3.681453,20.21087,3.20072,96.73683,4.77291,81.42072,4.363332
1848782400000124928,142.616,12.70731,56.17383,9.164036,240.4028,15.95634,329.9475,18.14823
610322445341059072,297.5076,3.246636,423.8577,3.487556,1410.137,6.977862,362.0918,2.515373
614897516781004800,102.4244,7.533648,31.05786,6.030246,96.0279,8.490808,95.61901,8.456496
523602037720508416,107.8025,5.028214,645.3887,7.371283,2591.967,17.61464,1103.613,9.833292
594596955649239040,258.7959,8.354719,151.3136,7.884582,532.2633,12.75326,690.7801,12.43176
556216851219113984,235.1591,9.522824,157.5915,9.297646,342.1269,13.30165,294.4908,11.95706
1184600674998970368,150.7026,7.018599,207.0633,6.765995,988.1898,13.08463,435.4819,9.843412
2946621418982369280,4497.978,31.80867,830.3254,10.15631,2613.398,21.6901,594.0681,8.519777
604674254679599104,551.1152,15.0839,983.1473,16.51317,4874.08,46.76355,2755.903,30.8198
606879599959238656,102.8968,7.55042,136.8257,8.778969,298.2502,12.67284,321.0902,11.1828
1787953565944276992,52.93981,5.313114,36.53101,4.543607,109.7757,6.370201,117.3895,6.900848
873804744366254080,104.7734,7.689673,56.22433,6.157761,210.4958,10.46679,246.3037,11.51325
315350407251519488,577.4553,9.778317,1254.602,12.96628,4352.196,30.3789,2210.942,15.41041
323137705250678784,34.37462,5.43385,30.09818,4.833462,116.7162,7.21773,134.4464,7.215703
1615761249461626880,166.6609,10.30716,857.9213,13.37706,5290.103,43.38441,2642.285,25.41251
1473938539203815424,1149.665,12.16531,710.8599,8.839412,2975.852,20.57151,2133.057,15.20225
1019076074354534400,24484.28,183.873,14679.14,112.6917,2.757685E+07,5015422,9508.756,69.9006
2837419024999016448,43.00637,2.930435,49.00265,2.728436,268.0405,4.32071,288.0701,4.455398
856972045089531904,30.58275,2.768595,68.42738,3.063224,210.9858,5.763148,107.1473,3.532631
1889262025423480832,460.6145,11.16153,1765.048,16.86514,13217.05,83.03453,7286.8,43.97903
1631457329717209088,8187.16,54.52469,1325.873,16.7265,5324.914,43.35706,4272.667,32.47322
2283369880231110656,2376.487,24.63839,2254.908,22.13372,7951.86,49.67749,4753.038,32.37704
2582965631775172608,28.78174,3.30263,15.33744,3.021143,33.83389,4.106659,41.55152,4.082871
1105760468607199232,503.1044,20.20856,322.9061,18.7202,744.0453,29.18538,874.8703,28.7188
1874691289665005568,63.08224,4.591435,20.32691,3.322143,65.04338,2.929516,76.72047,4.294755
1874761108653369344,44.89263,5.753958,79.70309,5.594975,197.6471,7.744356,146.7658,7.892333
865881975548831744,599.4363,8.212416,607.5152,7.592417,2917.169,21.46654,1620.505,12.3134
1383861873077676032,31.9018,5.324211,103.7708,4.986674,488.7152,9.106459,173.7966,7.732791
511161613374482432,128.5184,8.473617,95.04176,7.408399,346.5287,12.2113,429.9887,13.0071
1783434297907111936,422.3838,8.846781,72.25724,4.335412,166.2164,5.112483,167.7037,5.661834
338991287174719488,324.1389,8.940432,589.4449,9.630146,2299.229,20.39949,1348.496,14.53949
594570292492265472,210.1498,4.359606,663.3504,6.083258,2765.524,14.74116,1449.795,8.544809
552933160195745792,1133.017,8.281463,754.8333,5.709908,2355.37,13.34936,391.5725,3.504659
2364476178326120448,133.5058,10.86272,60.168,8.801561,453.1498,14.74677,666.3714,15.75797
1820719014918252544,83.06089,10.48813,44.1208,7.9677,97.21618,11.20378,74.62664,12.20214
585627144252581888,87.40623,3.046349,200.7558,3.377355,758.567,6.488899,234.8429,3.697485
605909830904866816,163.1563,13.19393,212.0451,11.8574,859.5497,24.70643,622.0557,25.07043
2522158791978412032,92.66433,9.715348,203.3089,8.565902,980.7279,17.17576,586.5858,16.03173
2165278474745440256,375.864,5.281759,575.6002,5.900801,2068.504,13.64887,593.111,5.842029
2034639740174624768,113.2301,6.032022,78.85376,4.240975,300.3574,7.277215,227.9519,7.461024
335536072102537216,111.1376,7.04607,58.32586,5.689563,161.0728,8.028925,128.6146,8.097485
2936510859339393024,126.5477,7.960606,62.01491,6.976628,169.6946,10.7652,178.4844,10.4287
2498497851387045888,576.6367,12.23001,751.2755,11.64649,2943.388,27.18129,1401.705,16.44083
513423308826372096,204.2914,7.659185,647.4868,9.405581,2550.603,23.32232,895.5151,11.03292
516954115775948800,475.681,7.647926,265.1546,5.292881,925.1013,9.561819,377.6988,5.860193
443694480466405376,42.83102,3.499932,15.71654,2.888396,125.415,4.554822,154.1326,4.937835
2795775559571892224,92.52153,9.530916,56.26249,8.564216,134.8918,12.46239,176.9046,12.79747
369461783741622272,50.91447,4.093251,34.54463,4.053351,85.2169,5.64572,51.62276,4.764537
393100449323968512,66.44958,2.711194,318.4162,3.585345,1335.11,7.157551,755.6008,4.63797
2508596865721722880,9336.208,69.15946,1166.072,17.06697,4811.205,43.74594,4796.921,39.40855
2168652326141716480,135.2268,7.019948,47.25696,5.156573,184.0137,9.031466,268.2448,10.43694
3184187947519862784,10.70297,2.066214,45.38665,2.368899,75.81604,2.798276,64.12659,2.735712
338924766721239040,78.39893,9.146924,45.66092,9.089925,135.2715,13.43996,155.3322,12.57127
3001669013819385856,161.9444,9.365841,73.57055,8.548402,220.337,12.9803,279.7395,12.66509
720727984402622464,75.39825,5.037298,42.48955,4.698232,122.146,5.721457,195.7638,6.152086
1826240766893123584,701.6871,12.28193,972.806,12.31902,5269.707,42.02534,2822.474,23.16854
478683413876860928,36.73412,5.729561,30.8785,5.415079,73.85098,6.400736,63.01601,6.377422
2262102027469350912,138.4888,12.30867,78.98495,10.79834,246.9916,18.62191,407.1001,19.87644
2909451872794339328,63.93896,7.405661,31.11802,4.501683,117.9445,6.838216,103.2221,10.07699
1556056395680344064,334.4578,14.35203,176.8472,12.8244,523.3359,20.86577,561.2432,19.42182
3240373267030108160,68.40302,3.779442,64.6038,3.646281,203.0081,4.487823,214.1346,4.330158
840026921168300032,29.34442,4.579163,23.73733,4.225719,75.15179,6.063351,82.91508,6.141992
737527697172883456,354.336,5.899249,432.2445,5.984982,1476.273,11.85661,691.6788,6.81437
862513858252662784,95.70547,8.060999,44.00045,6.830678,140.2651,9.875976,210.8182,10.86907
1468284854289328128,179.4148,14.09388,66.13549,10.93357,195.8789,17.26804,322.5274,19.73026
886098383893194752,222.7896,12.20022,1476.43,19.57399,8538.777,69.85413,4206.496,37.05357
2352036025284454400,55.42394,3.971354,45.51037,3.125329,201.9977,4.702394,215.6467,5.201643
1544824608635512832,961.3674,21.99762,2898.773,32.1456,12253.38,97.8975,5967.541,46.50797
988585787417192448,85.76681,7.132477,48.0264,5.656216,289.6452,9.596355,355.5422,10.39285
1033710844988385280,1522.805,15.70481,1020.533,11.00114,4107.485,28.34753,825.7416,9.039816
744238016653977600,98.60059,10.51143,59.21202,9.491904,105.3144,12.91689,152.0574,13.94522
751085500193859584,101.2632,10.76644,91.96197,9.455522,214.1108,14.25227,104.1592,13.45788
2509790110799652864,99.90306,17.84201,167.7435,17.14167,442.924,26.18897,315.2292,27.70181
549540891476387840,31.79686,4.288052,57.48275,3.783696,331.4339,6.487051,142.6109,5.696779
1120352641621190656,125.7614,6.42898,31.65729,3.548462,58.20346,3.175152,81.42362,4.89149
2169752112714508288,92.9495,8.163713,59.19977,6.846817,211.2329,10.5331,327.9452,11.63258
2491718812043339776,56.14773,10.51388,41.92478,7.917876,189.5407,14.45561,370.7054,17.24344
2376879215116052480,58.93805,7.878466,65.82576,8.586015,136.6208,12.77046,135.8701,11.59498
2366709842942388224,211.3408,8.683897,720.7388,10.60166,5146.56,40.60478,2770.666,24.86608
2075065203292137472,472.7678,7.946283,668.8507,8.2176,2406.694,18.37124,1033.228,9.958794
2921747987111634944,188.0637,12.04688,883.1303,15.75114,3514.546,36.42399,1512.794,22.4091
1432293440598599680,45.82301,5.227215,67.11811,5.159817,287.9997,8.212337,200.7984,7.591055
1969246547266791424,1908.705,14.15564,1122.382,8.843272,3673.269,22.30405,577.8633,4.923454
2523306138166913024,253.7464,7.799125,43.39046,4.037429,117.6491,5.44602,253.228,7.074332
872685166248617984,1267.279,16.21635,1461.345,15.67808,5745.364,47.17968,1467.125,14.2294
621515198817134592,82.0985,5.571841,38.93745,4.714301,139.2496,6.822361,221.4858,7.593648
621595463165962240,89.08842,6.358849,37.23289,5.543181,198.7292,9.244511,332.4998,9.370063
320975784472766464,2554.437,29.846,4266.413,38.58799,14511.21,93.5508,3580.823,28.40684
320977163341817856,2402.944,24.65374,3685.008,30.29843,13171.2,76.75196,3451.395,23.88097
1792572339834087424,322.9424,6.414264,273.2791,5.200813,1393.726,11.93839,952.0886,9.830392
488673301665703936,24.81091,3.305911,17.75634,2.725617,93.27818,4.236965,98.9289,4.599729
1049354150296446976,237.8362,10.00151,378.2467,9.673588,1424.602,19.72264,1030.707,17.22043
327725690801645568,176.955,10.34216,55.05654,6.261361,249.5112,10.04849,133.6092,12.02091
2087455045875427328,151.4102,11.30373,78.75883,8.238578,235.927,13.61166,250.981,15.64519
3087346808196720640,86.70879,7.558463,52.2738,6.995248,170.908,11.26226,269.4178,11.18104
1024729758681819136,149.3976,6.389229,293.0728,6.503531,1173.12,13.38056,532.6129,9.15239
1874774302792902656,40.61372,3.279153,21.04591,3.001461,62.98951,3.671225,62.81833,3.640547
1071919149015394304,8295.316,56.81057,3371.086,27.29591,17429.35,108.6633,2644.452,21.8765
1701331290810247168,532.5941,15.44969,2331.819,24.97785,8420.575,61.84837,2890.179,27.67229
866958359717242880,4134.91,41.04472,4891.938,41.92889,16079.74,143.6027,5345.062,38.2583
2790041335665551360,4906.175,43.25146,2548.965,25.64863,9633.144,77.8957,1688.508,18.03677
1606717491445262336,130.6609,10.68668,51.40551,8.772754,211.9384,14.03021,310.5696,14.95951
393022933754210304,221.8488,4.399277,1058.584,7.380199,5413.769,29.58297,1898.237,10.37977
2189913858540333056,3133.1,31.77664,1413.284,15.6532,4369.396,38.36679,429.6342,7.587276
2995016423312484352,599.7603,11.40984,530.2423,10.16457,2006.124,22.44577,1419.034,18.44194
2995021096236902400,54.69788,4.31772,16.87301,2.872849,48.38818,4.218161,39.3265,4.644541
340022899698067456,638.9077,14.49786,1519.601,17.74848,6541.773,44.78582,3709.226,28.83434
1812747831031654400,118.0305,10.6608,79.87676,10.28835,212.322,15.76878,242.9499,15.35538
585569419892123648,716.2837,8.55501,183.6861,5.343229,1068.022,10.83635,776.9305,9.131131
3287670685471631360,157.364,2.707805,452.9144,3.745595,2716.665,14.24396,1044.788,5.922834
2811419141200701440,147.558,11.40027,104.3558,9.862594,470.6015,18.81239,747.5219,20.44901
1013425409120823296,43.77901,5.811851,25.15762,4.971555,180.2654,8.088827,215.7392,8.021976
1883801301410670592,71.1114,5.540777,48.75182,5.268108,174.4296,7.777681,157.8564,7.32542
1828637152502638592,274.8371,16.14919,191.8363,15.63037,536.1171,27.47903,371.7639,24.17208
1829674537596250112,164.0984,17.01678,84.0078,14.24271,228.567,20.54951,216.8859,21.29012
1794693572675528704,173.5253,7.95469,1019.062,11.76453,4204.322,28.02799,3133.535,19.68938
1007788212065691648,44.78548,8.140673,45.76555,6.178006,117.2329,8.996938,152.6894,10.86377
1350026051664766976,307.3954,12.40607,305.0118,9.834187,1131.868,18.25988,631.0926,15.78195
1874731971595233280,49.38637,3.910596,29.8757,3.267136,113.8996,4.543642,122.4662,5.00219
2179747773073614848,3722.328,32.88968,2066.184,19.86902,7557.503,55.66848,1671.147,14.98096
2800130175373699072,180.923,12.82001,97.50036,11.2625,255.4175,17.52959,311.3887,17.65981
